,Predicted Data,Original Label
118,"[[0.24062082171440125, 0.688339114189148, 0.3902117908000946], [0.3004557490348816, 0.8705350160598755, 0.42865610122680664]]","[[0.06690140813589096, 0.75, 0.34375], [0.6478873491287231, 0.75, 0.6428571343421936]]"
119,"[[0.24213233590126038, 0.690943717956543, 0.3917789161205292], [0.20220153033733368, 0.559964656829834, 0.36408886313438416]]","[[0.04929577559232712, 0.75, 0.3973214328289032], [0.14084507524967194, 0.5, 0.4196428656578064]]"
120,"[[0.3013857305049896, 0.8652082085609436, 0.4274945855140686], [0.3134762942790985, 0.9015493988990784, 0.43476903438568115]]","[[0.7183098793029785, 0.75, 0.4464285671710968], [0.8098591566085815, 0.75, 0.5446428656578064]]"
121,"[[0.2463425248861313, 0.701335072517395, 0.39416030049324036], [0.2630712389945984, 0.7519623041152954, 0.4046114683151245]]","[[0.10211267322301865, 0.75, 0.3705357015132904], [0.2992957830429077, 0.75, 0.3839285671710968]]"
122,"[[0.25448834896087646, 0.7237343788146973, 0.3992447257041931], [0.265704870223999, 0.75982266664505, 0.4067530333995819]]","[[0.22535210847854614, 0.75, 0.2857142984867096], [0.246478870511055, 0.75, 0.5758928656578064]]"
123,"[[0.3392951488494873, 0.9899587631225586, 0.44823306798934937], [0.13266973197460175, 0.3211633563041687, 0.3129923939704895]]","[[0.5985915660858154, 1.0, 0.1651785671710968], [0.30281689763069153, 0.0, 0.4553571343421936]]"
124,"[[0.3578040301799774, 1.0496026277542114, 0.45938748121261597], [0.20161637663841248, 0.5568575263023376, 0.366019070148468]]","[[0.6760563254356384, 1.0, 0.4553571343421936], [0.15845070779323578, 0.5, 0.4107142984867096]]"
125,"[[0.3613009750843048, 1.0607298612594604, 0.4604108929634094], [0.24972066283226013, 0.7170621752738953, 0.398011177778244]]","[[0.7992957830429077, 1.0, 0.2321428507566452], [0.13732394576072693, 0.75, 0.4196428656578064]]"
126,"[[0.12965784966945648, 0.30958670377731323, 0.31390321254730225], [0.26929160952568054, 0.7770155668258667, 0.4090864956378937]]","[[0.2887323796749115, 0.0, 0.4598214328289032], [0.4225352108478546, 0.75, 0.3258928656578064]]"
127,"[[0.26739028096199036, 0.772861897945404, 0.40841367840766907], [0.26024487614631653, 0.7497671246528625, 0.4039759635925293]]","[[0.3239436745643616, 0.75, 0.4955357015132904], [0.27464789152145386, 0.75, 0.3883928656578064]]"
128,"[[0.24141068756580353, 0.6906821727752686, 0.39345455169677734], [0.19863474369049072, 0.5478273630142212, 0.3666805326938629]]","[[0.05281690135598183, 0.75, 0.4017857015132904], [0.07394365966320038, 0.5, 0.59375]]"
129,"[[0.2636874318122864, 0.7611284852027893, 0.4073070287704468], [0.3159189522266388, 0.929862916469574, 0.43575289845466614]]","[[0.27112674713134766, 0.75, 0.5044642686843872], [0.27112674713134766, 1.0, 0.3392857015132904]]"
130,"[[0.2595716714859009, 0.7453994154930115, 0.4043644368648529], [0.34519708156585693, 1.0175929069519043, 0.4499988257884979]]","[[0.27464789152145386, 0.75, 0.3883928656578064], [0.5, 1.0, 0.5625]]"
131,"[[0.259505033493042, 0.7449963688850403, 0.40362128615379333], [0.304125040769577, 0.8938320875167847, 0.4279439449310303]]","[[0.27816900610923767, 0.75, 0.3794642984867096], [0.11267605423927307, 1.0, 0.4419642984867096]]"
132,"[[0.2547224164009094, 0.7271541953086853, 0.4012676775455475], [0.33248433470726013, 0.9760312438011169, 0.4418831467628479]]","[[0.1690140813589096, 0.75, 0.4375], [0.3380281627178192, 1.0, 0.5446428656578064]]"
133,"[[0.318411648273468, 0.9339166283607483, 0.43417027592658997], [0.2758607566356659, 0.7910171747207642, 0.4120683968067169]]","[[0.2535211145877838, 1.0, 0.4196428656578064], [0.49295774102211, 0.75, 0.2857142984867096]]"
134,"[[0.12663210928440094, 0.28757593035697937, 0.31876397132873535], [0.26361986994743347, 0.7589687705039978, 0.40691354870796204]]","[[0.27464789152145386, 0.0, 0.4107142984867096], [0.31690141558647156, 0.75, 0.3839285671710968]]"
135,"[[0.3291644752025604, 0.9721464514732361, 0.4391101002693176], [0.21544040739536285, 0.5935176014900208, 0.37914329767227173]]","[[0.36267605423927307, 1.0, 0.4776785671710968], [0.44014084339141846, 0.5, 0.2544642984867096]]"
136,"[[0.2523650825023651, 0.7240967154502869, 0.4013220965862274], [0.28440067172050476, 0.8211671113967896, 0.4172224700450897]]","[[0.14788731932640076, 0.75, 0.4464285671710968], [0.591549277305603, 0.75, 0.2767857015132904]]"
137,"[[0.29778701066970825, 0.8785135746002197, 0.4234924018383026], [0.28454726934432983, 0.8268088698387146, 0.4173922836780548]]","[[0.07746478915214539, 1.0, 0.3348214328289032], [0.47887325286865234, 0.75, 0.6875]]"
138,"[[0.25456100702285767, 0.7303595542907715, 0.40215539932250977], [0.3049488663673401, 0.8998546004295349, 0.42685526609420776]]","[[0.2112676054239273, 0.75, 0.3883928656578064], [0.14436618983745575, 1.0, 0.3392857015132904]]"
139,"[[0.3007628619670868, 0.8772037029266357, 0.4253688454627991], [0.2549876272678375, 0.733471691608429, 0.40293872356414795]]","[[0.6478873491287231, 0.75, 0.6428571343421936], [0.20070423185825348, 0.75, 0.375]]"
140,"[[0.3438339829444885, 1.0210142135620117, 0.44374188780784607], [0.2999185621738434, 0.8859558701515198, 0.4245881140232086]]","[[0.47535210847854614, 1.0, 0.5580357313156128], [0.07746478915214539, 1.0, 0.3616071343421936]]"
141,"[[0.24403215944766998, 0.6977255940437317, 0.39850080013275146], [0.33162280917167664, 0.9840325713157654, 0.43908536434173584]]","[[0.09859155118465424, 0.75, 0.3303571343421936], [0.4154929518699646, 1.0, 0.3705357015132904]]"
142,"[[0.26992836594581604, 0.7811175584793091, 0.4109671115875244], [0.24252475798130035, 0.694955587387085, 0.3976544737815857]]","[[0.3838028311729431, 0.75, 0.4598214328289032], [0.04577464610338211, 0.75, 0.4285714328289032]]"
143,"[[0.34413090348243713, 1.0208158493041992, 0.4408944249153137], [0.2753998339176178, 0.7945336699485779, 0.4119437038898468]]","[[0.6056337952613831, 1.0, 0.1830357164144516], [0.5035211443901062, 0.75, 0.25]]"
144,"[[0.3125816285610199, 0.9086388349533081, 0.42888522148132324], [0.3074019253253937, 0.9104163646697998, 0.4271123707294464]]","[[0.8697183132171631, 0.75, 0.4241071343421936], [0.13028168678283691, 1.0, 0.3883928656578064]]"
145,"[[0.3198109567165375, 0.9515068531036377, 0.43167775869369507], [0.22228464484214783, 0.6122779846191406, 0.38717353343963623]]","[[0.27112674713134766, 1.0, 0.3392857015132904], [0.4647887349128723, 0.5, 0.4241071343421936]]"
146,"[[0.3676208257675171, 1.0990110635757446, 0.4505024552345276], [0.30233967304229736, 0.8978743553161621, 0.42531177401542664]]","[[0.6760563254356384, 1.0, 0.6517857313156128], [0.09507042169570923, 1.0, 0.34375]]"
147,"[[0.2793055474758148, 0.8069886565208435, 0.41490188241004944], [0.3008854389190674, 0.8910213112831116, 0.4238838255405426]]","[[0.44014084339141846, 0.75, 0.5178571343421936], [0.04929577559232712, 1.0, 0.3616071343421936]]"
148,"[[0.30184048414230347, 0.8980339169502258, 0.424252986907959], [0.1946410983800888, 0.5198875069618225, 0.373798131942749]]","[[0.05281690135598183, 1.0, 0.40625], [0.07746478915214539, 0.5, 0.3258928656578064]]"
149,"[[0.2975173890590668, 0.8589227199554443, 0.4214186668395996], [0.26244863867759705, 0.7517781257629395, 0.40728652477264404]]","[[0.7570422291755676, 0.75, 0.1875], [0.27816900610923767, 0.75, 0.3482142984867096]]"
150,"[[0.3601239025592804, 1.070189356803894, 0.4428454041481018], [0.33880364894866943, 1.0045092105865479, 0.4354444742202759]]","[[0.6971830725669861, 1.0, 0.3125], [0.5176056623458862, 1.0, 0.1785714328289032]]"
151,"[[0.2511635422706604, 0.7160161137580872, 0.40339401364326477], [0.29538020491600037, 0.8508656620979309, 0.42091885209083557]]","[[0.13380281627178192, 0.75, 0.4017857015132904], [0.75, 0.75, 0.1651785671710968]]"
152,"[[0.24633298814296722, 0.7025426030158997, 0.40232565999031067], [0.27212056517601013, 0.7810882925987244, 0.4126577377319336]]","[[0.0809859186410904, 0.75, 0.4642857015132904], [0.4647887349128723, 0.75, 0.2544642984867096]]"
153,"[[0.3414202034473419, 1.0164827108383179, 0.43693721294403076], [0.2823905050754547, 0.8155375719070435, 0.4163811206817627]]","[[0.5035211443901062, 1.0, 0.3258928656578064], [0.5035211443901062, 0.75, 0.5]]"
154,"[[0.32295775413513184, 0.9642050266265869, 0.43057215213775635], [0.24995559453964233, 0.714765727519989, 0.4032697379589081]]","[[0.28169015049934387, 1.0, 0.3928571343421936], [0.11971831321716309, 0.75, 0.4151785671710968]]"
155,"[[0.2508141100406647, 0.7184591889381409, 0.40479856729507446], [0.24914488196372986, 0.7129441499710083, 0.4040397107601166]]","[[0.13380281627178192, 0.75, 0.4241071343421936], [0.10563380271196365, 0.75, 0.4151785671710968]]"
156,"[[0.30098196864128113, 0.8993203639984131, 0.42222946882247925], [0.36756420135498047, 1.1034458875656128, 0.44292229413986206]]","[[0.07746478915214539, 1.0, 0.3348214328289032], [0.7781690359115601, 1.0, 0.4285714328289032]]"
157,"[[0.3090537488460541, 0.9058345556259155, 0.42588454484939575], [0.24276097118854523, 0.6977501511573792, 0.4015175700187683]]","[[0.8697183132171631, 0.75, 0.4241071343421936], [0.04577464610338211, 0.75, 0.4285714328289032]]"
158,"[[0.3355658948421478, 1.011930227279663, 0.4328414797782898], [0.26897677779197693, 0.7786696553230286, 0.4108492136001587]]","[[0.43661972880363464, 1.0, 0.4241071343421936], [0.40140846371650696, 0.75, 0.3482142984867096]]"
159,"[[0.35809600353240967, 1.0790544748306274, 0.44080784916877747], [0.26214930415153503, 0.7570074200630188, 0.41025376319885254]]","[[0.6971830725669861, 1.0, 0.3482142984867096], [0.2852112650871277, 0.75, 0.4196428656578064]]"
160,"[[0.24988187849521637, 0.7177819013595581, 0.40560150146484375], [0.11761917918920517, 0.2119135856628418, 0.3335915803909302]]","[[0.1654929518699646, 0.75, 0.3258928656578064], [0.07042253762483597, 0.0, 0.4285714328289032]]"
161,"[[0.26136788725852966, 0.7570118308067322, 0.4107646346092224], [0.2771432101726532, 0.8050788640975952, 0.41608792543411255]]","[[0.27112674713134766, 0.75, 0.5044642686843872], [0.5105633735656738, 0.75, 0.3571428656578064]]"
162,"[[0.20804475247859955, 0.5548498034477234, 0.38748061656951904], [0.26796385645866394, 0.774116039276123, 0.4115407168865204]]","[[0.27464789152145386, 0.5, 0.4285714328289032], [0.3697183132171631, 0.75, 0.3883928656578064]]"
163,"[[0.3073994219303131, 0.9309099316596985, 0.42413657903671265], [0.2493954449892044, 0.7186868190765381, 0.405181884765625]]","[[0.11267605423927307, 1.0, 0.4419642984867096], [0.13380281627178192, 0.75, 0.4017857015132904]]"
164,"[[0.3534791171550751, 1.067230224609375, 0.4365524649620056], [0.23390351235866547, 0.6318201422691345, 0.3987012505531311]]","[[0.5880281925201416, 1.0, 0.4910714328289032], [0.6971830725669861, 0.5, 0.1830357164144516]]"
165,"[[0.3026396334171295, 0.8856298327445984, 0.4240127205848694], [0.25226712226867676, 0.7269350290298462, 0.4075489938259125]]","[[0.75, 0.75, 0.5446428656578064], [0.14436618983745575, 0.75, 0.4866071343421936]]"
166,"[[0.256106972694397, 0.7388468384742737, 0.40805068612098694], [0.3409493565559387, 1.0331523418426514, 0.43203020095825195]]","[[0.21478873491287231, 0.75, 0.40625], [0.5035211443901062, 1.0, 0.3258928656578064]]"
167,"[[0.35978084802627563, 1.088384747505188, 0.4356399178504944], [0.2821913957595825, 0.8183466196060181, 0.4161040484905243]]","[[0.6760563254356384, 1.0, 0.4553571343421936], [0.5035211443901062, 0.75, 0.5]]"
168,"[[0.2618377208709717, 0.7575773596763611, 0.40991488099098206], [0.3027726113796234, 0.8872389197349548, 0.4224933087825775]]","[[0.2887323796749115, 0.75, 0.4285714328289032], [0.7746478915214539, 0.75, 0.5669642686843872]]"
169,"[[0.2531037926673889, 0.7268602848052979, 0.4074494540691376], [0.34324514865875244, 1.0411856174468994, 0.43169406056404114]]","[[0.18309858441352844, 0.75, 0.3839285671710968], [0.51408451795578, 1.0, 0.4196428656578064]]"
170,"[[0.1959250569343567, 0.5070813298225403, 0.3855704665184021], [0.2614348828792572, 0.7518956661224365, 0.41043731570243835]]","[[0.09507042169570923, 0.5, 0.3616071343421936], [0.27464789152145386, 0.75, 0.3883928656578064]]"
171,"[[0.22673264145851135, 0.6031551957130432, 0.3989218473434448], [0.21092356741428375, 0.5521069765090942, 0.3924756944179535]]","[[0.5739436745643616, 0.5, 0.4151785671710968], [0.35211268067359924, 0.5, 0.3214285671710968]]"
172,"[[0.31089121103286743, 0.9440557956695557, 0.4229775667190552], [0.3245413899421692, 0.9853314161300659, 0.42604145407676697]]","[[0.1654929518699646, 1.0, 0.4017857015132904], [0.3380281627178192, 1.0, 0.3482142984867096]]"
173,"[[0.3014286458492279, 0.8730040788650513, 0.42052018642425537], [0.31626051664352417, 0.9602071046829224, 0.4235387444496155]]","[[0.8309859037399292, 0.75, 0.1383928507566452], [0.19718310236930847, 1.0, 0.4196428656578064]]"
174,"[[0.20607341825962067, 0.5370527505874634, 0.3905153274536133], [0.24716047942638397, 0.7056931257247925, 0.40494024753570557]]","[[0.25, 0.5, 0.375], [0.11971831321716309, 0.75, 0.2633928656578064]]"
175,"[[0.13115748763084412, 0.2222711443901062, 0.3517058491706848], [0.30274251103401184, 0.9211417436599731, 0.4211065173149109]]","[[0.30985915660858154, 0.0, 0.4285714328289032], [0.0809859186410904, 1.0, 0.3303571343421936]]"
176,"[[0.24466724693775177, 0.7022239565849304, 0.40561729669570923], [0.2750511169433594, 0.7975407242774963, 0.41423624753952026]]","[[0.0809859186410904, 0.75, 0.3839285671710968], [0.48239436745643616, 0.75, 0.3303571343421936]]"
177,"[[0.3402656018733978, 1.039562702178955, 0.42877236008644104], [0.23333469033241272, 0.619228184223175, 0.4026457369327545]]","[[0.46830984950065613, 1.0, 0.5491071343421936], [0.6971830725669861, 0.5, 0.1830357164144516]]"
178,"[[0.19654624164104462, 0.5039909482002258, 0.3891550302505493], [0.30247506499290466, 0.8828911781311035, 0.4219345450401306]]","[[0.07394365966320038, 0.5, 0.3705357015132904], [0.7746478915214539, 0.75, 0.5669642686843872]]"
179,"[[0.2581706643104553, 0.7412500381469727, 0.4108004570007324], [0.33807751536369324, 1.0318266153335571, 0.42744511365890503]]","[[0.24295774102210999, 0.75, 0.4107142984867096], [0.4577464759349823, 1.0, 0.4776785671710968]]"
180,"[[0.30788853764533997, 0.8932936191558838, 0.4217366576194763], [0.2270045429468155, 0.5969026684761047, 0.400577187538147]]","[[0.8697183132171631, 0.75, 0.4241071343421936], [0.5387324094772339, 0.5, 0.3973214328289032]]"
181,"[[0.29390281438827515, 0.853514552116394, 0.41738706827163696], [0.3143081068992615, 0.9678462147712708, 0.420266330242157]]","[[0.7570422291755676, 0.75, 0.1875], [0.19718310236930847, 1.0, 0.53125]]"
182,"[[0.30059218406677246, 0.9258378148078918, 0.41834554076194763], [0.303189218044281, 0.8877556324005127, 0.42111843824386597]]","[[0.07746478915214539, 1.0, 0.3348214328289032], [0.8098591566085815, 0.75, 0.5446428656578064]]"
183,"[[0.3208099901676178, 0.991379976272583, 0.4212878346443176], [0.14943818747997284, 0.2591295838356018, 0.365958571434021]]","[[0.27816900610923767, 1.0, 0.5535714030265808], [0.7288732528686523, 0.0, 0.3482142984867096]]"
184,"[[0.19788482785224915, 0.5034863948822021, 0.39163485169410706], [0.13060590624809265, 0.1981002688407898, 0.3559805154800415]]","[[0.07746478915214539, 0.5, 0.3258928656578064], [0.22535210847854614, 0.0, 0.4821428656578064]]"
185,"[[0.3234695494174957, 0.9949366450309753, 0.42137205600738525], [0.23684757947921753, 0.6256319880485535, 0.40547552704811096]]","[[0.34507042169570923, 1.0, 0.2633928656578064], [0.7007042169570923, 0.5, 0.4196428656578064]]"
186,"[[0.22187858819961548, 0.5758040547370911, 0.40075960755348206], [0.24716848134994507, 0.7100402116775513, 0.4081668257713318]]","[[0.5035211443901062, 0.5, 0.125], [0.10211267322301865, 0.75, 0.3705357015132904]]"
187,"[[0.326409250497818, 1.001996636390686, 0.42041414976119995], [0.24505043029785156, 0.7032121419906616, 0.40656226873397827]]","[[0.4119718372821808, 1.0, 0.1651785671710968], [0.05281690135598183, 0.75, 0.4017857015132904]]"
188,"[[0.2761712968349457, 0.7997725009918213, 0.4148064851760864], [0.33646973967552185, 1.0393157005310059, 0.42273813486099243]]","[[0.5, 0.75, 0.4107142984867096], [0.46830984950065613, 1.0, 0.5491071343421936]]"
189,"[[0.2471655011177063, 0.7084990739822388, 0.40880653262138367], [0.30688026547431946, 0.9481197595596313, 0.41914162039756775]]","[[0.07394365966320038, 0.75, 0.4419642984867096], [0.10915493220090866, 1.0, 0.4776785671710968]]"
190,"[[0.12934790551662445, 0.1783447265625, 0.35774269700050354], [0.19872339069843292, 0.5000268220901489, 0.39401304721832275]]","[[0.11619718372821808, 0.0, 0.4732142984867096], [0.07746478915214539, 0.5, 0.3258928656578064]]"
191,"[[0.14112885296344757, 0.21294650435447693, 0.36463987827301025], [0.14910101890563965, 0.23216703534126282, 0.3696625828742981]]","[[0.39788731932640076, 0.0, 0.2455357164144516], [0.6514084339141846, 0.0, 0.5982142686843872]]"
192,"[[0.28307926654815674, 0.8225751519203186, 0.41645967960357666], [0.3017387390136719, 0.9418580532073975, 0.4170737862586975]]","[[0.591549277305603, 0.75, 0.2767857015132904], [0.09507042169570923, 1.0, 0.3883928656578064]]"
193,"[[0.310828298330307, 0.9641481637954712, 0.41751253604888916], [0.21795012056827545, 0.558221697807312, 0.4015456438064575]]","[[0.20070423185825348, 1.0, 0.3214285671710968], [0.3661971688270569, 0.5, 0.5044642686843872]]"
194,"[[0.1363646686077118, 0.18702226877212524, 0.36310142278671265], [0.1523701250553131, 0.2342027723789215, 0.37171369791030884]]","[[0.27112674713134766, 0.0, 0.4776785671710968], [0.6478873491287231, 0.0, 0.375]]"
195,"[[0.24732214212417603, 0.7050657272338867, 0.40896081924438477], [0.24960604310035706, 0.7127644419670105, 0.40965211391448975]]","[[0.09859155118465424, 0.75, 0.3303571343421936], [0.1232394352555275, 0.75, 0.4017857015132904]]"
196,"[[0.203206405043602, 0.5092727541923523, 0.3973406255245209], [0.2644489109516144, 0.7635456919670105, 0.4126160740852356]]","[[0.14084507524967194, 0.5, 0.4196428656578064], [0.3239436745643616, 0.75, 0.4910714328289032]]"
197,"[[0.3076167404651642, 0.9640684127807617, 0.4161078929901123], [0.3335419297218323, 1.0354981422424316, 0.4187641739845276]]","[[0.14788731932640076, 1.0, 0.5], [0.48239436745643616, 1.0, 0.28125]]"
198,"[[0.13182075321674347, 0.16799743473529816, 0.36245983839035034], [0.27238795161247253, 0.7878130078315735, 0.41433247923851013]]","[[0.06338027864694595, 0.0, 0.4285714328289032], [0.4612676203250885, 0.75, 0.2589285671710968]]"
199,"[[0.2041897028684616, 0.5116018652915955, 0.39897429943084717], [0.2711089849472046, 0.7839604020118713, 0.413837194442749]]","[[0.14788731932640076, 0.5, 0.5401785969734192], [0.4225352108478546, 0.75, 0.3258928656578064]]"
200,"[[0.3038279116153717, 0.8744360208511353, 0.42151814699172974], [0.24838890135288239, 0.7128015756607056, 0.4101942777633667]]","[[0.8063380122184753, 0.75, 0.6785714030265808], [0.09859155118465424, 0.75, 0.3348214328289032]]"
201,"[[0.1985853910446167, 0.49114924669265747, 0.39733946323394775], [0.22636713087558746, 0.5728248357772827, 0.40532100200653076]]","[[0.04577464610338211, 0.5, 0.4375], [0.5035211443901062, 0.5, 0.125]]"
202,"[[0.3330574631690979, 1.0358589887619019, 0.41739392280578613], [0.2953210771083832, 0.9301112294197083, 0.4134998023509979]]","[[0.48943662643432617, 1.0, 0.3482142984867096], [0.04929577559232712, 1.0, 0.3973214328289032]]"
203,"[[0.26322606205940247, 0.7601313591003418, 0.4130852222442627], [0.25455260276794434, 0.733840823173523, 0.41113436222076416]]","[[0.2852112650871277, 0.75, 0.5], [0.18309858441352844, 0.75, 0.3839285671710968]]"
204,"[[0.3078870177268982, 0.9688745141029358, 0.41458672285079956], [0.2060217261314392, 0.5118005871772766, 0.4004242420196533]]","[[0.17253521084785461, 1.0, 0.3973214328289032], [0.13732394576072693, 0.5, 0.4330357015132904]]"
205,"[[0.25532224774360657, 0.7323950529098511, 0.41091209650039673], [0.2582964301109314, 0.7410824298858643, 0.4116464853286743]]","[[0.20070423185825348, 0.75, 0.3616071343421936], [0.24295774102210999, 0.75, 0.4107142984867096]]"
206,"[[0.2439114898443222, 0.7017411589622498, 0.40883246064186096], [0.3414035439491272, 1.0549780130386353, 0.41681215167045593]]","[[0.03873239457607269, 0.75, 0.4419642984867096], [0.5985915660858154, 1.0, 0.1651785671710968]]"
207,"[[0.3001035749912262, 0.9527469277381897, 0.4139710068702698], [0.13740448653697968, 0.1595129817724228, 0.3683132529258728]]","[[0.07746478915214539, 1.0, 0.4821428656578064], [0.06338027864694595, 0.0, 0.4285714328289032]]"
208,"[[0.1440817266702652, 0.17146676778793335, 0.37210336327552795], [0.24544990062713623, 0.7050012350082397, 0.41005784273147583]]","[[0.22183097898960114, 0.0, 0.46875], [0.0422535203397274, 0.75, 0.4330357015132904]]"
209,"[[0.2787274420261383, 0.8018538951873779, 0.4160587191581726], [0.26755693554878235, 0.7704683542251587, 0.4139137864112854]]","[[0.48591548204421997, 0.75, 0.4241071343421936], [0.35563379526138306, 0.75, 0.3080357015132904]]"
210,"[[0.2876140773296356, 0.8245168924331665, 0.4172549247741699], [0.2676008343696594, 0.7706674933433533, 0.41340887546539307]]","[[0.6091549396514893, 0.75, 0.5], [0.35563379526138306, 0.75, 0.3080357015132904]]"
211,"[[0.24866022169589996, 0.7165341377258301, 0.411191463470459], [0.3495458662509918, 1.0805023908615112, 0.4179385006427765]]","[[0.11971831321716309, 0.75, 0.2633928656578064], [0.6866196990013123, 1.0, 0.2991071343421936]]"
212,"[[0.34864962100982666, 1.0821939706802368, 0.4172047972679138], [0.13862396776676178, 0.14663885533809662, 0.3703318238258362]]","[[0.658450722694397, 1.0, 0.4866071343421936], [0.07042253762483597, 0.0, 0.4285714328289032]]"
213,"[[0.35884836316108704, 1.1048884391784668, 0.41684871912002563], [0.2971886098384857, 0.8451308012008667, 0.41857802867889404]]","[[0.7781690359115601, 1.0, 0.4285714328289032], [0.73591548204422, 0.75, 0.3214285671710968]]"
214,"[[0.2308589667081833, 0.5650461316108704, 0.40951409935951233], [0.32057100534439087, 1.0077763795852661, 0.4144757091999054]]","[[0.5035211443901062, 0.5, 0.125], [0.3380281627178192, 1.0, 0.5446428656578064]]"
215,"[[0.3411039412021637, 1.0563291311264038, 0.4152058959007263], [0.2442520409822464, 0.705397367477417, 0.4100034832954407]]","[[0.5985915660858154, 1.0, 0.1651785671710968], [0.04929577559232712, 0.75, 0.3526785671710968]]"
216,"[[0.2819114327430725, 0.804547905921936, 0.41756609082221985], [0.1564425826072693, 0.1723167598247528, 0.3800824284553528]]","[[0.5176056623458862, 0.75, 0.7321428656578064], [0.4612676203250885, 0.0, 0.5669642686843872]]"
217,"[[0.2535047233104706, 0.7324264049530029, 0.4126735329627991], [0.24537277221679688, 0.5987095236778259, 0.4145546555519104]]","[[0.17957746982574463, 0.75, 0.4017857015132904], [0.6971830725669861, 0.5, 0.1830357164144516]]"
218,"[[0.2793055772781372, 0.7995635271072388, 0.41497355699539185], [0.2448645532131195, 0.7130447626113892, 0.4097118377685547]]","[[0.5211267471313477, 0.75, 0.0982142835855484], [0.06338027864694595, 0.75, 0.3794642984867096]]"
219,"[[0.2931848168373108, 0.9520360231399536, 0.41059112548828125], [0.33564674854278564, 1.053198218345642, 0.41391485929489136]]","[[0.06338027864694595, 1.0, 0.5178571343421936], [0.5457746386528015, 1.0, 0.3794642984867096]]"
220,"[[0.14600561559200287, 0.1439591497182846, 0.3754507899284363], [0.1785893589258194, 0.20006942749023438, 0.3914535939693451]]","[[0.09507042169570923, 0.0, 0.3973214328289032], [0.8485915660858154, 0.0, 0.6651785969734192]]"
221,"[[0.28151753544807434, 0.7969351410865784, 0.418122261762619], [0.14885295927524567, 0.14657053351402283, 0.37722334265708923]]","[[0.5070422291755676, 0.75, 0.4107142984867096], [0.14436618983745575, 0.0, 0.4151785671710968]]"
222,"[[0.344230592250824, 1.0648531913757324, 0.41380828619003296], [0.31029212474823, 0.8622617125511169, 0.4197079539299011]]","[[0.5880281925201416, 1.0, 0.4910714328289032], [0.8309859037399292, 0.75, 0.1383928507566452]]"
223,"[[0.28371402621269226, 0.8008509278297424, 0.41648584604263306], [0.24911874532699585, 0.7216184139251709, 0.409656286239624]]","[[0.5176056623458862, 0.75, 0.7321428656578064], [0.10563380271196365, 0.75, 0.4151785671710968]]"
224,"[[0.28102558851242065, 0.7945095896720886, 0.41619423031806946], [0.3226829171180725, 1.0167731046676636, 0.4114568531513214]]","[[0.49295774102211, 0.75, 0.2857142984867096], [0.38732394576072693, 1.0, 0.2901785671710968]]"
225,"[[0.25073549151420593, 0.5932920575141907, 0.41673922538757324], [0.3096708655357361, 0.8555212616920471, 0.421807199716568]]","[[0.6971830725669861, 0.5, 0.1830357164144516], [0.8098591566085815, 0.75, 0.5446428656578064]]"
226,"[[0.24582408368587494, 0.714325487613678, 0.4108425974845886], [0.25243374705314636, 0.7293480038642883, 0.41228264570236206]]","[[0.08802817016839981, 0.75, 0.4107142984867096], [0.1690140813589096, 0.75, 0.4776785671710968]]"
227,"[[0.308968722820282, 0.8541761636734009, 0.42052584886550903], [0.2579616904258728, 0.7430192828178406, 0.41324931383132935]]","[[0.8133803009986877, 0.75, 0.1875], [0.22887323796749115, 0.75, 0.4375]]"
228,"[[0.20627379417419434, 0.4932805299758911, 0.405487060546875], [0.3170957863330841, 1.01433265209198, 0.4101470112800598]]","[[0.06338027864694595, 0.5, 0.3794642984867096], [0.34859153628349304, 1.0, 0.40625]]"
229,"[[0.2608564496040344, 0.7486560940742493, 0.41415688395500183], [0.2566782832145691, 0.7387388944625854, 0.4136131703853607]]","[[0.26760563254356384, 0.75, 0.3883928656578064], [0.22535210847854614, 0.75, 0.4285714328289032]]"
230,"[[0.3250858187675476, 1.0237736701965332, 0.41164910793304443], [0.2865813076496124, 0.9436555504798889, 0.4080005884170532]]","[[0.43661972880363464, 1.0, 0.4241071343421936], [0.04929577559232712, 1.0, 0.3973214328289032]]"
231,"[[0.3056427538394928, 0.987902820110321, 0.4094686508178711], [0.17044289410114288, 0.14753982424736023, 0.38836950063705444]]","[[0.23591549694538116, 1.0, 0.3482142984867096], [0.4612676203250885, 0.0, 0.5669642686843872]]"
232,"[[0.20559929311275482, 0.483862042427063, 0.4066292941570282], [0.33593639731407166, 1.04769766330719, 0.41240569949150085]]","[[0.04577464610338211, 0.5, 0.4375], [0.5246478915214539, 1.0, 0.4910714328289032]]"
233,"[[0.28724169731140137, 0.9551406502723694, 0.4076160192489624], [0.33288493752479553, 1.0449730157852173, 0.41246742010116577]]","[[0.05985915660858154, 1.0, 0.3705357015132904], [0.5, 1.0, 0.5446428656578064]]"
234,"[[0.31825098395347595, 1.0152299404144287, 0.4112432599067688], [0.2454112470149994, 0.7171716094017029, 0.41209954023361206]]","[[0.36267605423927307, 1.0, 0.4776785671710968], [0.08802817016839981, 0.75, 0.4107142984867096]]"
235,"[[0.2414599359035492, 0.7107900381088257, 0.4112420082092285], [0.2416694611310959, 0.7119147777557373, 0.411296010017395]]","[[0.056338027119636536, 0.75, 0.3839285671710968], [0.04577464610338211, 0.75, 0.4285714328289032]]"
